BCCenergy_pa_composition_average,HeatVaporization_max_value,MeltingT_max_value,HeatVaporization_difference,BCCfermi_composition_average,MeltingT_difference,HeatVaporization_composition_average,BoilingT_composition_average,phi_max_value,NdValence_composition_average,HHIp_composition_average,valence_composition_average,phi_difference,HeatFusion_composition_average,n_ws^third_composition_average,n_ws^third_max_value,NValance_composition_average,GSenergy_pa_composition_average,CovalentRadii_composition_average,GSmagmom_composition_average,ThermalExpansionCoefficient_composition_average,MiracleRadius_composition_average,BCCmagmom_composition_average,BCCvolume_padiff_composition_average,MeltingT_composition_average
-4.0303375145,590.4,2896.0,586.9891,4.085815242000002,2841.2,150.33704,1407.16,4.65,1.0,1515.0,2.8,2.3300000000000005,9.265,0.531,1.77,5.2,-5.41172224475,1.058,0.0,473.335,107.5,0.0,-1.2075,829.33
-3.6489680985,446.7,2183.0,443.2891,3.649420066,2128.2,121.59704,1160.76,4.25,0.6,1695.0,2.6,1.93,6.068999999999999,0.505,1.64,5.0,-5.03035282875,1.042,0.0,474.055,106.5,0.0,-1.2075,686.73
-3.5545709345,590.5,2128.0,587.0891,3.2040257999999997,2073.2,150.35703999999996,1361.16,3.45,0.4,1715.0,2.4000000000000004,1.1300000000000003,5.9689999999999985,0.459,1.41,4.800000000000002,-4.95169240175,1.088,0.0,473.515,111.3,0.0,-1.2965,675.73
-4.030150667,590.4,2896.0,586.9891,4.021026098,2841.2,149.61354,1426.46,4.65,1.0,1470.0,2.8,2.3300000000000005,9.194,0.526,1.77,5.2,-5.410481879500001,1.07,0.0,473.25,108.6,0.0,-1.16,823.58
-3.5543840870000007,590.5,2128.0,587.0891,3.1392366560000005,2073.2,149.63353999999995,1380.46,3.45,0.4,1670.0,2.4000000000000004,1.1300000000000003,5.898,0.454,1.41,4.800000000000002,-4.9504520365,1.1,0.0,473.43,112.4,0.0,-1.249,669.98
-3.8675011490000006,690.1,2750.0,686.6891,3.344326525,2695.2,170.11203999999998,1403.76,4.05,0.8,2795.0,2.6,1.65,7.784499999999999,0.5065,1.64,5.0,-5.24912956375,1.0625,0.0,473.93,107.75,0.0,-1.2735,802.63
-4.2191167510000005,737.0,3290.0,733.5891,3.451210821,3235.2,179.49204,1546.56,4.05,0.6,1555.0,2.6,1.65,9.0985,0.5045,1.63,7.800000000000002,-5.60074516575,1.0625,0.0,473.73,108.15,0.0,-1.2735,910.63
-3.6366889810000003,446.7,2183.0,443.2891,3.6549665069999997,2128.2,121.43203999999999,1136.36,4.25,0.6,1755.0,2.6,1.85,6.0844999999999985,0.5065,1.64,5.0,-5.01831739575,1.0385,0.0,474.15,105.95,0.0,-1.2735,689.23
-3.5422918170000006,590.5,2128.0,587.0891,3.209572241,2073.2,150.19204,1336.76,3.45,0.4,1775.0,2.4000000000000004,1.0500000000000005,5.9845,0.4605,1.41,4.800000000000002,-4.9396569687500005,1.0845,0.0,473.61,110.75,0.0,-1.3624999999999998,678.23
-4.206650786,737.0,3290.0,733.5891,3.3919681180000003,3235.2,178.60353999999998,1541.46,4.05,0.6,1570.0,2.6,1.65,9.043,0.5009999999999999,1.63,7.800000000000002,-5.5874693675,1.071,0.0,473.74,108.7,0.0,-1.2919999999999998,907.38
-3.624223016,446.7,2183.0,443.2891,3.595723804,2128.2,120.54354,1131.26,4.25,0.6,1770.0,2.6,1.85,6.029,0.5029999999999999,1.64,5.0,-5.0050415975,1.047,0.0,474.16,106.5,0.0,-1.2919999999999998,685.98
-4.417851689,590.4,2896.0,586.9891,4.1612740365,2841.2,173.89303999999996,1672.06,4.65,1.15,2355.0,2.95,2.3300000000000005,9.434499999999998,0.5760000000000001,1.77,6.4,-5.8176360065,1.0385,0.0,469.69,103.75,0.0,-0.978,899.98
-4.036482273,446.7,2183.0,443.2891,3.7248788605,2128.2,145.15303999999998,1425.66,4.25,0.75,2535.0,2.75,1.93,6.238499999999998,0.5499999999999999,1.64,6.2,-5.4362665905,1.0225,0.0,470.41,102.75,0.0,-0.978,757.38
-3.9420851090000006,590.5,2128.0,587.0891,3.2794845945,2073.2,173.91303999999997,1626.06,3.45,0.55,2555.0,2.55,1.1300000000000003,6.1385,0.504,1.41,6.0,-5.3576061635,1.0685,0.0,469.87,107.55,0.0,-1.067,746.38
-4.28849345,590.4,2896.0,586.9891,4.071331961,2841.2,165.31753999999998,1603.06,4.65,1.1,2030.0,2.9,2.3300000000000005,9.307,0.556,1.77,6.0,-5.6810910539999995,1.057,0.0,470.82,106.1,0.0,-1.0070000000000001,870.6800000000002
-3.907124034,446.7,2183.0,443.2891,3.634936785,2128.2,136.57754,1356.66,4.25,0.7,2210.0,2.7,1.93,6.110999999999999,0.53,1.64,5.800000000000002,-5.299721638,1.041,0.0,471.54,105.1,0.0,-1.0070000000000001,728.08
-3.812726870000001,590.5,2128.0,587.0891,3.1895425189999997,2073.2,165.33754,1557.06,3.45,0.5,2230.0,2.5,1.1300000000000003,6.010999999999999,0.484,1.41,5.6,-5.221061211,1.087,0.0,471.0,109.9,0.0,-1.096,717.08
-4.0366691205,446.7,2183.0,443.2891,3.7896680044999997,2128.2,145.87653999999995,1406.36,4.25,0.75,2580.0,2.75,1.7000000000000002,6.3095,0.5549999999999999,1.64,6.2,-5.437506955750001,1.0105,0.0,470.495,101.65,0.0,-1.0255,763.13
-3.9074977289999997,446.7,2183.0,443.2891,3.764515073,2128.2,138.02454,1318.06,4.25,0.7,2300.0,2.7,1.7000000000000002,6.252999999999999,0.5399999999999999,1.64,5.800000000000002,-5.302202368500001,1.0170000000000001,0.0,471.71,102.9,0.0,-1.102,739.58
-4.0242031555,446.7,2183.0,443.2891,3.7304253015,2128.2,144.98803999999996,1401.26,4.25,0.75,2595.0,2.75,1.85,6.254,0.5514999999999999,1.64,6.2,-5.4242311575,1.0190000000000001,0.0,470.505,102.2,0.0,-1.044,759.88
-3.9298059915,590.5,2128.0,587.0891,3.2850310355000003,2073.2,173.74803999999997,1601.66,3.45,0.55,2615.0,2.55,1.0500000000000005,6.154,0.5055,1.41,6.0,-5.3455707305,1.065,0.0,469.965,107.0,0.0,-1.133,748.88
-4.263935215,590.4,2896.0,586.9891,4.082424843,2841.2,164.98754,1554.2599999999998,4.65,1.1,2150.0,2.9,2.2500000000000004,9.338,0.5589999999999999,1.77,6.0,-5.657020188000001,1.05,0.0,471.01,105.0,0.0,-1.139,875.6800000000002
-4.464993569,737.0,3290.0,733.5891,3.4422739810000005,3235.2,194.30754,1718.06,4.05,0.7,2130.0,2.7,1.65,9.156,0.5309999999999999,1.63,8.6,-5.858078542,1.058,0.0,471.31,106.2,0.0,-1.139,954.48
-3.8825657989999995,446.7,2183.0,443.2891,3.646029667,2128.2,136.24754,1307.86,4.25,0.7,2330.0,2.7,1.85,6.142,0.5329999999999999,1.64,5.800000000000002,-5.2756507720000005,1.034,0.0,471.73,104.0,0.0,-1.139,733.08
-3.7881686350000012,590.5,2128.0,587.0891,3.2006354010000004,2073.2,165.00753999999998,1508.2599999999998,3.45,0.5,2350.0,2.5,1.0500000000000005,6.042000000000001,0.48700000000000004,1.41,5.6,-5.1969903450000015,1.0799999999999998,0.0,471.19,108.8,0.0,-1.228,722.08
-4.029776972,590.4,2896.0,586.9891,3.89144781,2841.2,148.16654,1465.06,4.65,1.0,1380.0,2.8,2.3300000000000005,9.052,0.516,1.77,5.2,-5.4080011489999995,1.094,0.0,473.08,110.8,0.0,-1.065,812.08
-3.879219724,690.1,2750.0,686.6891,3.144412652,2695.2,168.10654,1486.06,4.05,0.8,2600.0,2.6,1.73,7.555999999999999,0.49,1.64,5.0,-5.257443901,1.102,0.0,473.58,111.6,0.0,-1.065,782.88
-4.2308353259999985,737.0,3290.0,733.5891,3.251296948,3235.2,177.48654,1628.86,4.05,0.6,1360.0,2.6,1.73,8.87,0.488,1.63,7.800000000000002,-5.609059502999999,1.102,0.0,473.38,112.0,0.0,-1.065,890.88
-4.3100710630000005,690.1,2750.0,686.6891,4.070709446,2695.2,207.01203999999998,1725.16,4.05,0.95,3575.0,2.75,1.73,7.417999999999998,0.5455,1.64,5.15,-5.70804748975,0.9925,0.0,471.27,106.20000000000002,0.000120765,-0.979125,811.83
-4.661686665,737.0,3290.0,733.5891,4.177593742000002,3235.2,216.39203999999998,1867.96,4.05,0.75,2335.0,2.75,1.73,8.732000000000001,0.5435,1.63,7.949999999999998,-6.059663091749999,0.9925,0.0,471.07,106.6,0.000120765,-0.979125,919.83
-3.984861731000001,590.5,2128.0,587.0891,3.935955162,2073.2,187.09204,1658.16,3.45,0.55,2555.0,2.55,1.1300000000000003,5.617999999999999,0.4995,1.41,4.95,-5.39857489475,1.0145,0.0,470.95,109.20000000000002,0.000120765,-1.068125,687.43
-4.16645395,690.1,2750.0,686.6891,3.761943848,2695.2,194.04353999999998,1645.46,4.05,0.9,3250.0,2.7,1.73,7.463999999999999,0.5269999999999999,1.64,5.1,-5.557846293500002,1.0290000000000001,0.0,472.04,108.0,8.051e-05,-1.00775,802.18
-4.518069552,737.0,3290.0,733.5891,3.8688281439999996,3235.2,203.42354,1788.26,4.05,0.7,2010.0,2.7,1.73,8.777999999999999,0.5249999999999999,1.63,7.9,-5.9094618955,1.0290000000000001,0.0,471.84,108.4,8.051e-05,-1.00775,910.18
-4.0305243619999995,590.4,2896.0,586.9891,4.150604386,2841.2,151.06054,1387.86,4.65,1.0,1560.0,2.8,2.1000000000000005,9.336,0.536,1.77,5.2,-5.41296261,1.046,0.0,473.42,106.4,0.0,-1.255,835.08
-3.879967114,690.1,2750.0,686.6891,3.4035692280000003,2695.2,171.00054,1408.86,4.05,0.8,2780.0,2.6,1.5,7.84,0.51,1.64,5.0,-5.262405362000001,1.054,0.0,473.92,107.20000000000002,0.0,-1.255,805.88
-3.5547577820000003,590.5,2128.0,587.0891,3.2688149440000003,2073.2,151.08053999999996,1341.86,3.45,0.4,1760.0,2.4000000000000004,0.9000000000000004,6.039999999999999,0.464,1.41,4.800000000000002,-4.952932767,1.0759999999999998,0.0,473.6,110.20000000000002,0.0,-1.344,681.48
-4.4608151585,590.4,2896.0,586.9891,4.882533748,2841.2,187.79554,1684.86,4.65,1.15,2400.0,2.95,2.1000000000000005,8.985,0.5765,1.77,5.35,-5.859845103,0.9725,0.0,470.855,104.3,0.000120765,-1.026625,846.7800000000002
-4.310257910500002,690.1,2750.0,686.6891,4.13549859,2695.2,207.73554,1705.86,4.05,0.95,3620.0,2.75,1.5,7.489,0.5505,1.64,5.15,-5.709287855,0.9805,0.0,471.355,105.1,0.000120765,-1.026625,817.58
-4.6618735125,737.0,3290.0,733.5891,4.242382886000001,3235.2,217.11553999999998,1848.66,4.05,0.75,2380.0,2.75,1.5,8.802999999999997,0.5485,1.63,7.949999999999998,-6.060903457,0.9805,0.0,471.155,105.5,0.000120765,-1.026625,925.58
-3.9850485785000007,590.5,2128.0,587.0891,4.0007443060000005,2073.2,187.81554,1638.86,3.45,0.55,2600.0,2.55,0.9000000000000004,5.689,0.5045,1.41,4.95,-5.39981526,1.0025,0.0,471.035,108.1,0.000120765,-1.115625,693.18
-4.317384893,590.4,2896.0,586.9891,4.638557294,2841.2,175.55053999999996,1585.86,4.65,1.1,2120.0,2.9,2.1000000000000005,9.102,0.563,1.77,5.3,-5.710884272,0.997,0.0,471.71,105.0,8.051e-05,-1.10275,842.88
-4.1668276450000015,690.1,2750.0,686.6891,3.8915221360000003,2695.2,195.49053999999998,1606.86,4.05,0.9,3340.0,2.7,1.5,7.606,0.5369999999999999,1.64,5.1,-5.560327023999999,1.005,0.0,472.21,105.8,8.051e-05,-1.10275,813.68
-4.518443247,737.0,3290.0,733.5891,3.998406432,3235.2,204.87053999999998,1749.66,4.05,0.7,2100.0,2.7,1.5,8.92,0.5349999999999999,1.63,7.9,-5.911942626,1.005,0.0,472.01,106.2,8.051e-05,-1.10275,921.68
-3.841618313000001,590.5,2128.0,587.0891,3.756767852,2073.2,175.57054,1539.86,3.45,0.5,2320.0,2.5,0.9000000000000004,5.805999999999999,0.491,1.41,4.9,-5.250854428999999,1.0270000000000001,0.0,471.89,108.8,8.051e-05,-1.19175,689.2800000000002
-4.396652680000001,690.1,2750.0,686.6891,3.5041809539999997,2695.2,202.40854,1762.06,4.05,1.0,3900.0,2.8,0.8499999999999996,8.066,0.57,1.64,6.6,-5.803623711,1.028,0.0,469.06,102.2,0.0,-0.9490000000000001,900.08
-4.748268282,737.0,3290.0,733.5891,3.61106525,3235.2,211.78853999999998,1904.86,4.05,0.8,2660.0,2.8,0.8499999999999996,9.38,0.568,1.63,9.4,-6.155239312999999,1.028,0.0,468.86,102.6,0.0,-0.9490000000000001,1008.08
-4.165840512,446.7,2183.0,443.2891,3.814820936,2128.2,153.72853999999998,1494.66,4.25,0.8,2860.0,2.8,1.0499999999999998,6.3660000000000005,0.57,1.64,6.6,-5.572811542999999,1.004,0.0,469.28,100.4,0.0,-0.9490000000000001,786.68
-4.071443348000002,590.5,2128.0,587.0891,3.36942667,2073.2,182.48854,1695.06,3.45,0.6000000000000001,2880.0,2.6,0.25,6.266,0.524,1.41,6.4,-5.494151116,1.05,0.0,468.74,105.20000000000002,0.0,-1.038,775.68
-4.58998655,590.4,2896.0,586.9891,4.907686679499999,2841.2,195.64754,1773.16,4.65,1.2,2680.0,3.0,1.4800000000000004,9.0415,0.5914999999999999,1.77,5.75,-5.99514969025,0.966,0.0,469.64,103.05,0.000120765,-0.950125,870.33
-4.791044904,737.0,3290.0,733.5891,4.2675358175000015,3235.2,224.96754,1936.96,4.05,0.8,2660.0,2.8,0.8799999999999999,8.859499999999997,0.5634999999999999,1.63,8.35,-6.19620804425,0.9740000000000001,0.0,469.94,104.25,0.000120765,-0.950125,949.13
-4.1142199700000015,590.5,2128.0,587.0891,4.0258972375000015,2073.2,195.66754,1727.16,3.45,0.6000000000000001,2880.0,2.6,0.28000000000000025,5.7455,0.5195,1.41,5.35,-5.53511984725,0.996,0.0,469.82,106.85,0.000120765,-1.039125,716.73
-4.5757276760000005,590.4,2896.0,586.9891,4.688863157,2841.2,191.25454,1762.46,4.65,1.2,2680.0,3.0,1.4800000000000004,9.215,0.593,1.77,6.1,-5.9814934465,0.9840000000000001,0.0,469.28,102.5,8.051e-05,-0.94975,889.98
-4.77678603,737.0,3290.0,733.5891,4.048712295,3235.2,220.57453999999998,1926.26,4.05,0.8,2660.0,2.8,0.8799999999999999,9.033,0.565,1.63,8.7,-6.1825518005,0.992,0.0,469.58,103.7,8.051e-05,-0.94975,968.78
-4.424223240000001,690.1,2750.0,686.6891,3.542889342,2695.2,206.59254,1770.06,4.05,0.8,3900.0,2.8,0.8599999999999999,7.51,0.568,1.64,5.6,-5.8275054410000005,1.036,0.0,470.54,103.6,0.0,-1.022,823.68
-4.775838842,737.0,3290.0,733.5891,3.649773638,3235.2,215.97254,1912.86,4.05,0.6,2660.0,2.8,0.8599999999999999,8.824,0.5660000000000001,1.63,8.4,-6.179121042999999,1.036,0.0,470.34,104.0,0.0,-1.022,931.68
-4.193411072,446.7,2183.0,443.2891,3.853529324,2128.2,157.91253999999995,1502.66,4.25,0.6,2860.0,2.8,1.06,5.81,0.568,1.64,5.6,-5.596693273,1.012,0.0,470.76,101.8,0.0,-1.022,710.2800000000002
-4.099013908000002,590.5,2128.0,587.0891,3.408135058,2073.2,186.67254,1703.06,3.45,0.4,2880.0,2.6,0.26000000000000023,5.71,0.522,1.41,5.4,-5.5180328460000005,1.0579999999999998,0.0,470.22,106.6,0.0,-1.111,699.2800000000002
-4.59687919,590.4,2896.0,586.9891,4.917363776499999,2841.2,196.69354,1775.16,4.65,1.15,2680.0,3.0,1.4800000000000004,8.9025,0.591,1.77,5.5,-6.001120122750001,0.968,0.0,470.01,103.4,0.000120765,-0.968375,851.23
-4.446321942000001,690.1,2750.0,686.6891,4.1703286185,2695.2,216.63353999999998,1796.16,4.05,0.95,3900.0,2.8,0.8799999999999999,7.4064999999999985,0.565,1.64,5.3,-5.8505628747500005,0.976,0.0,470.51,104.20000000000002,0.000120765,-0.968375,822.03
-4.121112610000001,590.5,2128.0,587.0891,4.0355743345,2073.2,196.71354,1729.16,3.45,0.55,2880.0,2.6,0.28000000000000025,5.6065,0.5189999999999999,1.41,5.1,-5.541090279750001,0.998,0.0,470.19,107.20000000000002,0.000120765,-1.057375,697.63
-4.438955708000001,690.1,2750.0,686.6891,3.961182193,2695.2,213.28654,1787.46,4.05,0.9,3900.0,2.8,0.8799999999999999,7.441,0.5660000000000001,1.64,5.4,-5.8428770635000005,0.996,0.0,470.52,104.0,8.051e-05,-0.98625,822.58
-4.79057131,737.0,3290.0,733.5891,4.068066489,3235.2,222.66654,1930.26,4.05,0.7,2660.0,2.8,0.8799999999999999,8.754999999999999,0.564,1.63,8.2,-6.194492665499999,0.996,0.0,470.32,104.4,8.051e-05,-0.98625,930.58
-4.20814354,446.7,2183.0,443.2891,4.2718221750000005,2128.2,164.60654,1520.06,4.25,0.7,2860.0,2.8,1.08,5.7410000000000005,0.5660000000000001,1.64,5.4,-5.6120648955,0.972,0.0,470.74,102.2,8.051e-05,-0.98625,709.18
-4.113746376000002,590.5,2128.0,587.0891,3.826427909,2073.2,193.36654,1720.46,3.45,0.5,2880.0,2.6,0.28000000000000025,5.641,0.52,1.41,5.2,-5.5334044685000014,1.018,0.0,470.2,107.0,8.051e-05,-1.07525,698.18
-3.980660502,590.4,2896.0,586.9891,3.913633574,2841.2,147.50654,1367.46,4.65,1.0,1620.0,2.8,2.2500000000000004,9.114,0.522,1.77,5.2,-5.359859417,1.08,0.0,473.46,108.6,0.0,-1.329,822.08
-3.830103254,690.1,2750.0,686.6891,3.166598416,2695.2,167.44654,1388.46,4.05,0.8,2840.0,2.6,1.65,7.6179999999999986,0.496,1.64,5.0,-5.209302169000001,1.088,0.0,473.96,109.4,0.0,-1.329,792.88
-4.181718856,737.0,3290.0,733.5891,3.2734827120000003,3235.2,176.82654,1531.26,4.05,0.6,1600.0,2.6,1.65,8.932,0.494,1.63,7.800000000000002,-5.560917771000001,1.088,0.0,473.76,109.8,0.0,-1.329,900.88
-3.504893922,590.5,2128.0,587.0891,3.031844132,2073.2,147.52653999999995,1321.46,3.45,0.4,1820.0,2.4000000000000004,1.0500000000000005,5.818,0.45,1.41,4.800000000000002,-4.899829574,1.11,0.0,473.64,112.4,0.0,-1.4180000000000001,668.48
-4.2977919455,690.1,2750.0,686.6891,4.076255887,2695.2,206.84704,1700.7599999999998,4.05,0.95,3635.0,2.75,1.65,7.433499999999999,0.5469999999999999,1.64,5.15,-5.69601205675,0.989,0.0,471.365,105.65,0.000120765,-1.045125,814.33
-3.9725826135,590.5,2128.0,587.0891,3.941501603,2073.2,186.92704,1633.7599999999998,3.45,0.55,2615.0,2.55,1.0500000000000005,5.6335,0.5009999999999999,1.41,4.95,-5.386539461749999,1.011,0.0,471.045,108.65,0.000120765,-1.134125,689.93
-4.2924529630000015,590.4,2896.0,586.9891,4.520071888,2841.2,173.77354,1575.66,4.65,1.1,2150.0,2.9,2.2500000000000004,8.991,0.5559999999999999,1.77,5.3,-5.684332675499999,1.014,0.0,471.73,106.1,8.051e-05,-1.13975,836.38
-4.493511317,737.0,3290.0,733.5891,3.879921026,3235.2,203.09354,1739.46,4.05,0.7,2130.0,2.7,1.65,8.809,0.5279999999999999,1.63,7.9,-5.8853910295,1.022,0.0,472.03,107.3,8.051e-05,-1.13975,915.18
-3.816686383,590.5,2128.0,587.0891,3.6382824460000003,2073.2,173.79353999999998,1529.66,3.45,0.5,2350.0,2.5,1.0500000000000005,5.695,0.484,1.41,4.9,-5.2243028325,1.044,0.0,471.91,109.9,8.051e-05,-1.22875,682.7800000000002
-4.913132023999999,590.4,2896.0,586.9891,4.217937559999998,2841.2,198.78654,1760.06,4.65,1.2,2740.0,3.0,1.4500000000000002,9.906,0.596,1.77,5.4,-6.3162166520000005,1.022,0.0,471.22,102.0,0.0,-1.032,971.88
-5.114190378,737.0,3290.0,733.5891,3.577786698,3235.2,228.10654,1923.86,4.05,0.8,2720.0,2.8,0.8499999999999996,9.724,0.568,1.63,8.0,-6.517275006,1.03,0.0,471.52,103.2,0.0,-1.032,1050.6799999999996
-4.437365444,590.5,2128.0,587.0891,3.336148118,2073.2,198.80654,1714.06,3.45,0.6000000000000001,2940.0,2.6,0.25,6.6099999999999985,0.524,1.41,5.0,-5.8561868089999995,1.052,0.0,471.4,105.8,0.0,-1.121,818.2800000000002
-4.6814670739999995,590.4,2896.0,586.9891,4.8993670415,2841.2,199.72704,1777.91,4.65,1.2,2695.0,3.0,1.4800000000000004,9.1275,0.5914999999999999,1.77,5.4,-6.085658613500001,0.9665,0.0,470.305,103.2,0.000120765,-0.970875,880.98
